"Cubo: Brazil Competitive 3MIS - PSA"
"Colunas: Medidas (Nível4 - Contagem),Grupo de idade,Gênero"
"Linhas: Segmento PSA,Modelo substituído,Modelo PSA (2008,208,3008,308,408,Aircross,C3,C4 Cactus,C4 Lounge)"
"Ipsos RDA Quality Connection - CONFIDENCIAL"
"14/01/2020 07:39:09"

"Segmento PSA";"Modelo substituído";"Modelo PSA";"Nível4 - Contagem,[em branco],[em branco]";"Nível4 - Contagem,[em branco],Mulher";"Nível4 - Contagem,[em branco],Homem";"Nível4 - Contagem,Menos de 20,Mulher";"Nível4 - Contagem,Menos de 20,Homem";"Nível4 - Contagem,20-24,Mulher";"Nível4 - Contagem,20-24,Homem";"Nível4 - Contagem,25-29,Mulher";"Nível4 - Contagem,25-29,Homem";"Nível4 - Contagem,30-34,[em branco]";"Nível4 - Contagem,30-34,Mulher";"Nível4 - Contagem,30-34,Homem";"Nível4 - Contagem,35-39,Mulher";"Nível4 - Contagem,35-39,Homem";"Nível4 - Contagem,40-44,Mulher";"Nível4 - Contagem,40-44,Homem";"Nível4 - Contagem,45-49,Mulher";"Nível4 - Contagem,45-49,Homem";"Nível4 - Contagem,50-54,[em branco]";"Nível4 - Contagem,50-54,Mulher";"Nível4 - Contagem,50-54,Homem";"Nível4 - Contagem,55-59,Mulher";"Nível4 - Contagem,55-59,Homem";"Nível4 - Contagem,60-64,[em branco]";"Nível4 - Contagem,60-64,Mulher";"Nível4 - Contagem,60-64,Homem";"Nível4 - Contagem,65-69,Mulher";"Nível4 - Contagem,65-69,Homem";"Nível4 - Contagem,70-74,Mulher";"Nível4 - Contagem,70-74,Homem";"Nível4 - Contagem,75-79,Mulher";"Nível4 - Contagem,75-79,Homem";"Nível4 - Contagem,80 e mais,Mulher";"Nível4 - Contagem,80 e mais,Homem";
"Segmento B";"DUSTORO";"208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";13;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"ECOSPORT";"208";"";"";"";"";"";"";"";54;31;"";7;19;9;"";"";"";27;12;"";"";"";"";"";"";"";"";"";42;"";"";"";"";"";"";
"Segmento B";"ECOSPORT";"C3";"";"";"";"";"";"";"";"";"";"";"";65;11;73;16;"";"";55;"";"";"";"";65;"";"";95;"";"";"";"";"";"";"";"";
"Segmento B";"EDGE";"C3";"";"";"";"";"";"";"";"";"";"";"";23;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"ETIOS";"208";"";"";"";"";"";"";"";"";"";"";68;26;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"ETIOS";"C3";"";"";"";"";"";"";"";"";"";"";36;"";"";"";"";133;8;"";"";29;"";"";8;"";"";"";135;"";"";"";"";"";"";"";
"Segmento B";"EXPLORER";"208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";35;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"FD_OTH";"C3";"";"";"";"";"";"";"";"";"";"";19;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"FESTIVA";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";29;
"Segmento B";"FIA_OTH";"C3";"";41;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"FIAT_500";"208";"";"";"";"";"";"";"";"";274;"";"";"";77;"";54;"";92;33;"";"";"";82;"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"FIAT_500";"C3";"";"";"";"";"";31;"";92;"";"";"";7;"";34;"";"";50;"";"";"";"";"";"";"";"";"";8;"";"";"";"";"";"";"";
"Segmento B";"FIAT_MO";"208";"";"";15;"";"";"";"";"";"";"";9;37;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"FIESTA";"208";"";21;"";"";"";"";60;78;61;"";"";356;42;247;40;324;10;6;"";"";"";103;"";"";"";"";"";"";"";47;"";"";"";"";
"Segmento B";"FIESTA";"C3";"";"";"";"";"";"";"";21;"";"";320;13;230;24;33;9;41;6;"";10;165;186;"";"";17;32;"";16;"";"";"";"";"";"";
"Segmento B";"FIT";"208";"";"";25;"";"";"";"";"";32;"";8;"";"";"";"";84;30;87;"";"";9;"";"";"";"";8;"";"";"";"";"";"";"";"";
"Segmento B";"FIT";"C3";"";"";"";"";"";"";"";"";79;"";24;"";"";49;107;"";"";"";"";"";"";"";"";"";"";"";9;"";"";"";"";11;"";"";
"Segmento B";"FLUENCE";"C3";"";"";"";"";"";"";"";"";"";"";42;"";70;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"FOCUS";"208";"";"";"";"";"";"";"";"";12;"";33;42;"";14;"";90;"";"";"";"";"";"";"";"";7;"";"";16;"";"";"";"";"";"";
"Segmento B";"FOCUS";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";22;"";
"Segmento B";"FOX";"208";12;"";"";"";"";"";"";"";48;"";48;178;"";90;33;34;29;45;"";"";"";7;"";"";"";15;"";"";"";"";"";"";"";"";
"Segmento B";"FOX";"C3";"";"";"";"";"";"";29;45;"";"";334;70;"";65;16;140;57;60;"";30;42;"";114;"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"FREELAND";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";6;"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"FRONTIER";"208";"";"";"";"";"";"";"";"";7;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"FUSCA";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";29;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"FUSION";"208";"";"";"";"";"";"";"";"";"";"";"";"";"";66;"";"";"";"";"";"";19;"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"FUSION";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";81;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"GLIVINA";"208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";35;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
